model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse,data_type
Transformer,6,1,False,False,False,0.00209127,0.00821274,0.03236232,0.07146617,0.04573038,0.09062414,0.01236921,0.0295617,0.99175803,0.96756802,0.00027614,0.09078533,original
Transformer,6,12,False,False,False,0.00883138,0.01330631,0.07136741,0.0866018,0.09397542,0.11535299,0.02918418,0.03528769,0.96475417,0.94691665,0.00146714,0.18756296,original
Transformer,6,24,False,False,False,0.01137177,0.10846459,0.07920066,0.29058859,0.1066385,0.32933962,0.0330294,0.12815917,0.95392728,0.56254196,0.00201652,0.21405351,original
Transformer,6,96,False,False,False,0.03495125,0.54684619,0.14177191,0.68088987,0.18695253,0.7394905,0.05957237,0.30772866,0.84387197,-1.37825517,0.00644505,0.38902578,original
Transformer,6,192,False,False,False,0.06491746,0.73836884,0.20191738,0.79063663,0.25478905,0.85928391,0.08672272,0.35940881,0.67627169,-2.49856825,0.012703,0.55305016,original
Transformer,6,336,False,False,False,0.18884191,0.60877303,0.36086097,0.71765504,0.43455943,0.78023909,0.15900356,0.32574397,-0.10468555,-2.18853436,0.03891529,0.99256611,original
Transformer,6,720,False,False,False,0.42920962,0.79803805,0.56443852,0.83524094,0.65514094,0.89332975,0.25235778,0.37910322,-2.96793433,-4.17764338,0.09224711,1.66285682,original
Transformer,12,1,False,False,False,0.00268426,0.13051149,0.03840061,0.3099002,0.05180987,0.36126374,0.01480852,0.13297003,0.98929584,0.478729,0.00036327,0.10346089,original
Transformer,12,12,False,False,False,0.00611132,0.02475459,0.05561228,0.12993193,0.07817495,0.15733591,0.02296362,0.05685505,0.97531229,0.90014475,0.001039,0.15691614,original
Transformer,12,24,False,False,False,0.01207986,0.52218193,0.08306322,0.66219442,0.10990841,0.72262156,0.03454133,0.29831083,0.95053191,-1.13014352,0.00211911,0.22190206,original
Transformer,12,96,False,False,False,0.03837706,0.70754391,0.14938009,0.77316769,0.19590063,0.84115629,0.06332802,0.35087037,0.82623747,-2.11824596,0.00722599,0.41045833,original
Transformer,12,192,False,False,False,0.10223003,0.84005547,0.26018733,0.84182564,0.31973431,0.9165454,0.11389805,0.38323533,0.48828022,-3.02597828,0.02106748,0.69817686,original
Transformer,12,336,False,False,False,0.13563387,0.59496045,0.29958913,0.70571524,0.36828503,0.77133679,0.13045819,0.31845915,0.20503578,-2.15056404,0.02678367,0.84606498,original
Transformer,12,720,False,False,False,0.36166376,1.05419558,0.5132556,0.96276798,0.60138488,1.02674027,0.2284725,0.43843761,-2.34184081,-5.90882885,0.07636014,1.53490651,original
Transformer,24,1,False,False,False,0.00201018,0.18696228,0.0313358,0.3787292,0.04483508,0.43239135,0.01201121,0.16568193,0.99179703,0.23621198,0.00026928,0.09057025,original
Transformer,24,12,False,False,False,0.00566288,0.03149734,0.05298471,0.14663358,0.07525211,0.17747491,0.02172371,0.06635226,0.97657995,0.86997769,0.00094821,0.15283544,original
Transformer,24,24,False,False,False,0.01115617,0.53074296,0.07839446,0.66763104,0.10562279,0.72852108,0.03285825,0.30153866,0.95317089,-1.2169827,0.0019927,0.21582985,original
Transformer,24,96,False,False,False,0.04285376,0.6555349,0.15736921,0.74373896,0.20701151,0.8096511,0.06747534,0.33782471,0.80016495,-1.96652888,0.00839658,0.43972313,original
Transformer,24,192,False,False,False,0.10655915,0.79426294,0.26053703,0.81863647,0.32643399,0.89121431,0.11324029,0.37292537,0.44616734,-2.89382124,0.02162163,0.7212953,original
Transformer,24,336,False,False,False,0.33095986,0.79271238,0.5043546,0.82046635,0.5752911,0.89034397,0.22176047,0.37410929,-0.9632756,-3.29016949,0.06766207,1.33684051,original
Transformer,24,720,False,False,False,0.21805532,1.02724364,0.38820174,0.95063233,0.46696395,1.01353028,0.17266019,0.433397,-1.04292502,-5.86844729,0.04629194,1.20503128,original
Transformer,48,1,False,False,False,0.00216967,0.18413771,0.03324596,0.3790108,0.04657976,0.42911271,0.01323508,0.16730661,0.99069569,0.20987395,0.00032561,0.09645887,original
Transformer,48,12,False,False,False,0.00572871,0.00956998,0.05377853,0.07130326,0.07568822,0.09782626,0.02216649,0.02889363,0.97504542,0.95841928,0.0009747,0.15772298,original
Transformer,48,24,False,False,False,0.01178877,0.3929334,0.08134197,0.57353869,0.10857609,0.626844,0.03411125,0.25949348,0.94778325,-0.7303256,0.00211915,0.22779645,original
Transformer,48,96,False,False,False,0.03746112,0.61886154,0.14723156,0.72161694,0.19354877,0.78667753,0.06259365,0.32856813,0.81655518,-1.94936142,0.00712644,0.42219836,original
Transformer,48,192,False,False,False,0.11008719,0.74399344,0.26024681,0.79285466,0.3317939,0.86255055,0.11350735,0.36162912,0.40177001,-2.81522522,0.02221834,0.75045669,original
Transformer,48,336,False,False,False,0.28953788,0.78214833,0.46529627,0.81753233,0.53808725,0.8843915,0.20293015,0.37279829,-0.78711808,-3.41761814,0.05720798,1.27874351,original
Transformer,48,720,False,False,False,0.4259207,1.14633696,0.56076354,1.01093743,0.65262598,1.07067126,0.24977997,0.46018062,-3.14618205,-6.97304206,0.09039576,1.72101963,original
Transformer,72,1,False,False,False,0.00212685,0.1910074,0.03157184,0.38929649,0.04611783,0.43704394,0.01206301,0.17340988,0.99035545,0.13319368,0.00027047,0.09820668,original
Transformer,72,12,False,False,False,0.00513394,0.00783921,0.05150674,0.06665373,0.0716515,0.08853929,0.02145772,0.02796367,0.97625014,0.96387869,0.00089544,0.1537734,original
Transformer,72,24,False,False,False,0.01051544,0.45748052,0.07476944,0.61706175,0.10254483,0.67637306,0.03142952,0.28035841,0.9503747,-1.14182649,0.00189971,0.22187747,original
Transformer,72,96,False,False,False,0.03715247,0.67961479,0.14466256,0.75693319,0.19274975,0.82438753,0.06144925,0.34549568,0.80887987,-2.40066438,0.00706741,0.43104243,original
Transformer,72,192,False,False,False,0.08535048,0.76056086,0.2333284,0.8023808,0.29214802,0.87210141,0.10138326,0.36637843,0.52086426,-3.07263299,0.01707613,0.67568207,original
Transformer,72,336,False,False,False,0.18979704,0.69503172,0.36498719,0.7679693,0.43565702,0.83368562,0.16106762,0.3505437,-0.21045718,-3.0897492,0.03880727,1.05295289,original
Transformer,72,720,False,False,False,0.36524415,1.14077406,0.51794064,1.00871574,0.60435432,1.06807025,0.23215568,0.45961675,-2.58812908,-7.24144478,0.07852648,1.61423302,original
Transformer,96,1,False,False,False,0.00156344,0.20125283,0.02900011,0.4031057,0.03954039,0.44861211,0.01152502,0.18117948,0.99243871,0.02667938,0.00022923,0.08695567,original
Transformer,96,12,False,False,False,0.00622376,0.01904821,0.05741668,0.11495414,0.07889082,0.13801525,0.02404569,0.05176993,0.96955086,0.90697179,0.00111061,0.17427656,original
